  1. EFGHIJKL: 1A=3E, 1B=3J, 1D=3I, 1E=3F, 1G=3H, 1I=3G, 1K=3L, 1L=3K
  2. DFGHIJKL: 1A=3H, 1B=3G, 1D=3I, 1E=3D, 1G=3J, 1I=3F, 1K=3L, 1L=3K
  3. DEGHIJKL: 1A=3E, 1B=3J, 1D=3I, 1E=3D, 1G=3H, 1I=3G, 1K=3L, 1L=3K
  4. DEFHIJKL: 1A=3E, 1B=3J, 1D=3I, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3K
  5. DEFGIJKL: 1A=3E, 1B=3G, 1D=3I, 1E=3D, 1G=3J, 1I=3F, 1K=3L, 1L=3K
  6. DEFGHJKL: 1A=3E, 1B=3G, 1D=3J, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3K
  7. DEFGHIKL: 1A=3E, 1B=3G, 1D=3I, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3K
  8. DEFGHIJL: 1A=3E, 1B=3G, 1D=3J, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3I
  9. DEFGHIJK: 1A=3E, 1B=3G, 1D=3J, 1E=3D, 1G=3H, 1I=3F, 1K=3I, 1L=3K
 10. CFGHIJKL: 1A=3H, 1B=3G, 1D=3I, 1E=3C, 1G=3J, 1I=3F, 1K=3L, 1L=3K
 11. CEGHIJKL: 1A=3E, 1B=3J, 1D=3I, 1E=3C, 1G=3H, 1I=3G, 1K=3L, 1L=3K
 12. CEFHIJKL: 1A=3E, 1B=3J, 1D=3I, 1E=3C, 1G=3H, 1I=3F, 1K=3L, 1L=3K
 13. CEFGIJKL: 1A=3E, 1B=3G, 1D=3I, 1E=3C, 1G=3J, 1I=3F, 1K=3L, 1L=3K
 14. CEFGHJKL: 1A=3E, 1B=3G, 1D=3J, 1E=3C, 1G=3H, 1I=3F, 1K=3L, 1L=3K
 15. CEFGHIKL: 1A=3E, 1B=3G, 1D=3I, 1E=3C, 1G=3H, 1I=3F, 1K=3L, 1L=3K
 16. CEFGHIJL: 1A=3E, 1B=3G, 1D=3J, 1E=3C, 1G=3H, 1I=3F, 1K=3L, 1L=3I
 17. CEFGHIJK: 1A=3E, 1B=3G, 1D=3J, 1E=3C, 1G=3H, 1I=3F, 1K=3I, 1L=3K
 18. CDGHIJKL: 1A=3H, 1B=3G, 1D=3I, 1E=3C, 1G=3J, 1I=3D, 1K=3L, 1L=3K
 19. CDFHIJKL: 1A=3C, 1B=3J, 1D=3I, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3K
 20. CDFGIJKL: 1A=3C, 1B=3G, 1D=3I, 1E=3D, 1G=3J, 1I=3F, 1K=3L, 1L=3K
 21. CDFGHJKL: 1A=3C, 1B=3G, 1D=3J, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3K
 22. CDFGHIKL: 1A=3C, 1B=3G, 1D=3I, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3K
 23. CDFGHIJL: 1A=3C, 1B=3G, 1D=3J, 1E=3D, 1G=3H, 1I=3F, 1K=3L, 1L=3I
 24. CDFGHIJK: 1A=3C, 1B=3G, 1D=3J, 1E=3D, 1G=3H, 1I=3F, 1K=3I, 1L=3K
 25. CDEHIJKL: 1A=3E, 1B=3J, 1D=3I, 1E=3C, 1G=3H, 1I=3D, 1K=3L, 1L=3K
 26. CDEGIJKL: 1A=3E, 1B=3G, 1D=3I, 1E=3C, 1G=3J, 1I=3D, 1K=3L, 1L=3K
 27. CDEGHJKL: 1A=3E, 1B=3G, 1D=3J, 1E=3C, 1G=3H, 1I=3D, 1K=3L, 1L=3K
